TARGET_PERIOD,FCT_SOURCE,10,T0_0,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,Volatility
2000Q4,24,3.6,0,0,0,0,0,0,10,25,50,15,0,0,2.898550724637681
2000Q4,26,3.7,0,0,0,0,0,0,0,25,50,25,0,0,2.6666666666666665
2000Q4,28,2.6,0,0,0,0,0,25,50,25,0,0,0,0,2.6666666666666665
2000Q4,31,3,,,,,,,,,,,,,1
2000Q4,32,3.1,0,0,0,0,0,10,40,45,5,0,0,0,2.6666666666666665
2000Q4,33,3,0,0,0,0,0,0,20,80,0,0,0,0,1.4705882352941178
2000Q4,34,3,0,0,0,0,0,0,10,90,0,0,0,0,1.2195121951219512
2000Q4,35,3,0,0,0,0,5,15,30,35,15,0,0,0,3.8461538461538463
2000Q4,36,2.9,0,0,0,0,0,10,50,40,0,0,0,0,2.380952380952381
2000Q4,37,3.1,0,0,0,0,0,0,40,60,0,0,0,0,1.9230769230769231
2000Q4,38,3.2,0,0,0,0,0,0,30,70,0,0,0,0,1.7241379310344827
2000Q4,39,3.6,0,0,0,0,0,0,0,35,60,5,0,0,2.0618556701030926
2000Q4,40,3.2,0,0,0,0,5,5,25,45,20,0,0,0,3.225806451612903
2000Q4,41,3.2,0,0,0,0,0,0,20,70,10,0,0,0,1.8518518518518519
2000Q4,42,3.3,,,,,,,,,,,,,1
2000Q4,46,3.85,0,0,0,0,0,2.02020202,9.09090909,19.19191919,27.27272727,24.24242424,13.13131313,5.05050505,5.039074551136349
2000Q4,48,3.6,0,0,0,0,0,0,0,40,40,20,0,0,2.7777777777777777
2000Q4,53,2.9,0,0,0,0,0,0,60,30,10,0,0,0,2.1739130434782608
2000Q4,55,3.6,0,0,0,.1,.6,4.1,14.8,29.8,33.1,14.8,2.5,.2,4.089645018812367
2000Q4,56,2.9,0,0,0,0,0,0,50,40,10,0,0,0,2.380952380952381
2000Q4,59,3.2,0,0,0,0,0,5,20,50,20,5,0,0,2.985074626865672
2000Q4,61,3,0,0,0,0,0,0,50,40,10,0,0,0,2.380952380952381
2000Q4,64,3.2,0,1,1,3,5,20,25,30,10,3,1,1,4.826254826254826
2000Q4,67,3,0,0,0,0,0,0,50,50,0,0,0,0,2.0
2000Q4,70,3,0,0,0,0,0,0,25,50,25,0,0,0,2.6666666666666665
2000Q4,71,4,0,0,0,0,0,0,3,7,30,50,10,0,2.810567734682406
2000Q4,72,3.1,0,0,0,0,2,10,25,30,20,10,2,1,4.686035613870666
2000Q4,73,3.9,0,0,0,0,0,0,0,15,70,15,0,0,1.8691588785046729
2000Q4,85,3.6,0,0,0,0,0,0,20,30,40,10,0,0,3.3333333333333335
2000Q4,87,3.3,0,0,0,0,0,0,20,60,20,0,0,0,2.272727272727273
2000Q4,89,2.8,0,0,0,0,0,10,60,20,10,0,0,0,2.380952380952381
2000Q4,90,3.3,0,0,0,0,0,0,5,75,20,0,0,0,1.6528925619834711
2000Q4,92,3.18,0,0,0,1.89382179,5.53658284,11.96315844,19.1244955,22.63272276,19.8282107,12.8531512,6.16785677,0,6.054192907239314
2000Q4,94,3,0,0,0,0,0,0,50,50,0,0,0,0,2.0
2000Q4,95,3.4,0,0,1,3,5,9,16,20,18,14,9,5,7.153075822603719
2000Q4,96,3.3,0,0,0,0,0,0,10,50,35,5,0,0,2.5974025974025974
""
TARGET_PERIOD,FCT_SOURCE,12,T0_0,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0T4_4,F4_5T4_9,F5_0,Volatility
2001Q1,1,3.7,0,0,0,0,0,0,15,20,30,20,15,0,4.651162790697675
2001Q1,3,3.1,0,0,0,0,0,0,40,50,10,0,0,0,2.380952380952381
2001Q1,4,3.9,0,0,0,0,0,0,0,20,50,30,0,0,2.6315789473684212
2001Q1,5,3.1,0,0,0,0,0,0,15,70,15,0,0,0,1.8691588785046729
2001Q1,7,3.5,,,,,,,,,,,,,1
